Rxn,Flux
ASPK,0.426615188259235
ASPO5,0.001948214941801
ASPTA,-1.043780126490522
ASPTRS,0.08577732320609
ATPM,3.6335
ATPPRT,0.032492672145701
BPNT,0.045770621502316
BTNt2pp,1.720003781e-06
BTNtex,1.7200037518705358e-06
C190cSN,0.000536966423213
CA2tex,0.00422246721063857
CAt6pp,-0.004222467210579
CDPMEK,0.170644616942288
CHORM,0.084180971401487
CHORS,0.096930764998943
CLPNS_ZM,0.001524743206197
CLt3_2pp,0.002111341023414
CLtex,0.004222682046815862
CO2tex,-86.64316776646467
CO2tpp,-86.64316776646467
CS,0.32322904721657
CTPS2,0.066534943867396
CYSS,0.045770621502316
CYSTL,0.033235205184861
CYSTRS,0.010918223477118
CYTK1,0.185806608819835
DAPDC,0.087054560295128
DAPE,0.095202810295128
DASYN_ZM,0.016780200725414
DB4PS,0.000763642962601
DCYTD,0.007669942336461
DDPA,0.322082940655489
DHAD1,0.230956338466323
DHAD2,0.086922898142055
DHDPRy,0.095202810295128
DHDPS,0.095202810295128
DHFR,0.008433567765963
DHFS,0.000763625429502
DHNPA2r,0.000763625429502
DHORDfum,0.118001035259375
DHORTS,-0.118001035259375
DHPPDA2,0.0003818214813
DHPS2,0.000763625429502
DHQS,0.322082940655489
DHQTi,0.096930764998943
D__LACt2pp,-19.03963794018245
D__LACtex,-19.03963794018245
DM_4CRSOL,0.000190904794051
DM_dad__5,0.000190904794051
DMATT,0.036548302172563
DPCOAK,0.000491790674883
DTMPK,0.007669942336461
DURIK1,0.007669942336461
DXPRIi,0.170644616942288
DXPS,0.171026421469542
E4PD,0.000190899733203
EAR100x,0.005503905837936
EAR120x,0.005503905837936
EAR121x,0.028056495612892
EAR140x,0.005503905837936
EAR141y,0.028056495612892
EAR160y,0.003825885765394
EAR161y,0.027955814408539
EAR181y,0.027251045978072
EAR40y,0.033560401450828
EAR60x,0.033560401450828
EAR80x,0.033560401450828
EDA,54.743946596651575
EDD,54.743946596651575
ENO,53.90994190773108
ETOHtex,-86.39989703367478
ETOHtrpp,-86.39989703367478
FBA,-0.022625936272236
FBP,0.022625936272236
FE2abcpp,0.006383401849111
FE2tex,0.006383401849006987
FE3tex,0.0
FLDR2,0.00904365613393
FMNAT,0.000190902753912
FNOR,-0.3453305346771
FTHFLi,0.252926401979117
FUM,0.236866862858209
G1PACT,0.028496280965553
G3PAT_ZM,0.016780200725414
G3PD2,-0.023115394912312
G5SADs,0.154563623878076
G5SD,0.154563623878076
G6PDH2r,4.759900582514025
G6PDH2xr,49.98404601413755
GALUi,0.014638499482762
GAPD,54.19231702056271
GARFT,0.157082106911253
GCALDtex,0.000763625429502
GCALDtpp,0.000763625429502
GDPtex,0.0
GF6PTA,0.028496280965553
GHMT2r,0.135554407547424
GK1,0.087998987175073
GLCtex,55.1
GLCtpp,55.1
GLNS,8.972706330327942
GLU5K,0.154563623878076
GLUN,5.801811776425205
GLUPRT,0.157082106911253
GLUR,-0.00814825
GLUTRS,0.09269772346024
GLYCtex,-0.001524743206197
GLYCtpp,0.001524743206197
GMPS2,0.087998987175073
GRTT,0.036548302172563
GRXR,0.028579101733751
GTHOr,0.028579101733751
